"","DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Vict Age","Status Desc","LOCATION","LAT","LON"
"242","191222650","09/14/2019 12:00:00 AM",2019-09-14 12:00:00,"0125","12","77th Street","1268",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","84TH                         PL",33.9619,-118.2717
"243","190507933","03/31/2019 12:00:00 AM",2019-03-31 12:00:00,"0125","05","Harbor","0564",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",70,"Invest Cont","400 W  SANTA CRUZ                   ST",33.741,-118.2838
"244","191200749","08/10/2019 12:00:00 AM",2019-08-10 12:00:00,"2340","12","77th Street","1266",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",35,"Invest Cont","8000 S  FIGUEROA                     ST",33.9668,-118.2827
"245","191805168","01/22/2019 12:00:00 AM",2019-01-22 12:00:00,"1837","18","Southeast","1849",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","GRAPE                        ST",33.9315,-118.2363
"246","190506352","02/23/2019 12:00:00 AM",2019-02-23 12:00:00,"1530","05","Harbor","0507",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","225TH                        ST",33.8223,-118.3015
"247","190512932","07/21/2019 12:00:00 AM",2019-07-21 12:00:00,"2315","05","Harbor","0519",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","GAMBLE                       AV",33.7945,-118.2437
"248","190510176","05/20/2019 12:00:00 AM",2019-05-19 12:00:00,"2100","05","Harbor","0565",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","9TH                          ST",33.7361,-118.2923
"249","191912861","07/04/2019 12:00:00 AM",2019-07-04 12:00:00,"2115","19","Mission","1983",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",30,"Invest Cont","8400    COLUMBUS                     AV",34.2231,-118.4655
"250","190510997","06/08/2019 12:00:00 AM",2019-06-08 12:00:00,"0026","05","Harbor","0557",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","5TH                          ST",33.7397,-118.2923
"251","191212662","05/01/2019 12:00:00 AM",2019-05-01 12:00:00,"1714","12","77th Street","1258",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","75TH                         ST",33.9718,-118.2739
"252","190507013","03/10/2019 12:00:00 AM",2019-03-10 12:00:00,"2225","05","Harbor","0503",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","252ND                        ST",33.7958,-118.2959
