"","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","Ward","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"71",12768689,"JF326628",2022-07-21 09:55:00,"034XX W MADISON ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1123",28,"04B",1153363,1899803,2022,"11/12/2022 03:46:21 PM",41.880903366,-87.712324013,"(41.880903366, -87.712324013)"
"72",12770624,"JF329073",2022-07-23 11:20:00,"005XX N HAMLIN AVE","041A","BATTERY","AGGRAVATED - HANDGUN","RESIDENCE",FALSE,FALSE,"1122",27,"04B",1150961,1903302,2022,"11/12/2022 03:46:21 PM",41.89055235,-87.721052371,"(41.89055235, -87.721052371)"
"73",12769941,"JF328069",2022-07-23 01:47:00,"027XX W JACKSON BLVD","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"1125",27,"04B",1158224,1898582,2022,"11/12/2022 03:46:21 PM",41.877454917,-87.69450809,"(41.877454917, -87.69450809)"
"74",12778016,"JF337791",2022-07-30 05:23:00,"074XX S RACINE AVE","041A","BATTERY","AGGRAVATED - HANDGUN","PARKING LOT / GARAGE (NON RESIDENTIAL)",FALSE,FALSE,"0733",17,"04B",1169615,1855259,2022,"11/12/2022 03:46:21 PM",41.758331912,-87.653941271,"(41.758331912, -87.653941271)"
"75",12768316,"JF325377",2022-07-20 10:34:00,"080XX S PERRY AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0623",17,"04B",1177006,1851674,2022,"11/12/2022 03:46:21 PM",41.748330883,-87.626961904,"(41.748330883, -87.626961904)"
"76",12771727,"JF330276",2022-07-25 12:39:00,"003XX S KILPATRICK AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1131",28,"04B",1145104,1898193,2022,"11/12/2022 03:46:21 PM",41.876645322,-87.742691439,"(41.876645322, -87.742691439)"
"77",12770310,"JF328645",2022-07-23 02:28:00,"0000X E 108TH ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"0513",9,"04B",1178248,1833364,2022,"11/12/2022 03:46:21 PM",41.698057802,-87.62296447,"(41.698057802, -87.62296447)"
"78",12776440,"JF335452",2022-07-28 09:57:00,"072XX S ARTESIAN AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0832",18,"04B",1161299,1856480,2022,"11/12/2022 03:46:21 PM",41.761858695,-87.684385041,"(41.761858695, -87.684385041)"
"79",12767755,"JF325483",2022-07-21 01:57:00,"073XX S UNIVERSITY AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0324",5,"04B",1185154,1856552,2022,"11/12/2022 03:46:21 PM",41.761529162,-87.59695217,"(41.761529162, -87.59695217)"
"80",12767719,"JF325470",2022-07-21 12:49:00,"014XX S SACRAMENTO DR","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1022",24,"04B",1156220,1893242,2022,"11/12/2022 03:46:21 PM",41.862842099,-87.702010464,"(41.862842099, -87.702010464)"
"81",12769841,"JF328042",2022-07-23 12:36:00,"022XX W 18TH PL","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1234",25,"04B",1161668,1891039,2022,"11/12/2022 03:46:21 PM",41.856685174,-87.682072761,"(41.856685174, -87.682072761)"
"82",12777268,"JF336967",2022-07-30 04:20:00,"001XX N CENTRAL PARK DR","041A","BATTERY","AGGRAVATED - HANDGUN","PARK PROPERTY",FALSE,FALSE,"1122",28,"04B",1152428,1900773,2022,"11/12/2022 03:46:21 PM",41.883583662,-87.715731653,"(41.883583662, -87.715731653)"
"83",12767752,"JF325520",2022-07-21 03:25:00,"024XX S LEAVITT ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1034",25,"04B",1162084,1887912,2022,"11/12/2022 03:46:21 PM",41.848095703,-87.68063306,"(41.848095703, -87.68063306)"
"84",12771425,"JF329963",2022-07-24 05:40:00,"040XX W ARTHINGTON ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"1132",24,"04B",1149510,1895805,2022,"11/12/2022 03:46:21 PM",41.870008034,-87.726575834,"(41.870008034, -87.726575834)"
"85",12776729,"JF336167",2022-07-29 01:39:00,"080XX S ESSEX AVE","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"0422",7,"04B",1194250,1852110,2022,"11/12/2022 03:46:21 PM",41.749121461,-87.563760717,"(41.749121461, -87.563760717)"
"86",12774982,"JF334177",2022-07-27 09:46:00,"065XX S LAFLIN ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0725",16,"04B",1167462,1861324,2022,"11/12/2022 03:46:21 PM",41.775021457,-87.661658255,"(41.775021457, -87.661658255)"
"87",12755375,"JF310493",2022-07-08 09:01:00,"130XX S DREXEL AVE","041A","BATTERY","AGGRAVATED - HANDGUN","CHA PARKING LOT / GROUNDS",FALSE,FALSE,"0533",9,"04B",1184659,1818786,2022,"11/12/2022 03:46:21 PM",41.657906269,-87.599945251,"(41.657906269, -87.599945251)"
"88",12771970,"JF330401",2022-07-25 12:00:00,"069XX S OAKLEY AVE","041A","BATTERY","AGGRAVATED - HANDGUN","ALLEY",FALSE,FALSE,"0832",17,"04B",1162263,1858645,2022,"11/12/2022 03:46:21 PM",41.767779753,-87.680791657,"(41.767779753, -87.680791657)"
"89",12756459,"JF311747",2022-07-10 01:32:00,"003XX E 72ND ST","041A","BATTERY","AGGRAVATED - HANDGUN","VEHICLE NON-COMMERCIAL",FALSE,FALSE,"0323",6,"04B",1179911,1857359,2022,"11/12/2022 03:46:21 PM",41.763865212,-87.616143409,"(41.763865212, -87.616143409)"
"90",12769198,"JF326932",2022-07-22 06:55:00,"009XX W 18TH ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"1235",25,"04B",1170330,1891600,2022,"11/12/2022 03:46:21 PM",41.858039914,-87.650262304,"(41.858039914, -87.650262304)"
"91",12770805,"JF329293",2022-07-24 05:00:00,"071XX S BENNETT AVE","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"0324",7,"04B",1189945,1857899,2022,"11/12/2022 03:46:21 PM",41.765111557,-87.579349708,"(41.765111557, -87.579349708)"
"92",12774785,"JF333834",2022-07-27 04:34:00,"048XX W LAKE ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1532",28,"04B",1144099,1901842,2022,"11/12/2022 03:46:21 PM",41.886677538,-87.746289876,"(41.886677538, -87.746289876)"
"93",12769830,"JF328106",2022-07-23 03:17:00,"0000X W DIVISION ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"1824",2,"04B",1175936,1908370,2022,"11/12/2022 03:46:21 PM",41.903933538,-87.62917996,"(41.903933538, -87.62917996)"
"94",12775801,"JF334984",2022-07-28 03:31:00,"095XX S BENNETT AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0431",7,"04B",1190514,1842105,2022,"11/12/2022 03:46:21 PM",41.721757661,-87.577772475,"(41.721757661, -87.577772475)"
"95",12769685,"JF327991",2022-07-22 11:59:00,"031XX W POLK ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1134",24,"04B",1155653,1896202,2022,"11/12/2022 03:46:21 PM",41.870976076,-87.704012212,"(41.870976076, -87.704012212)"
"96",12768651,"JF326342",2022-07-21 05:08:00,"027XX S DEARBORN ST","041A","BATTERY","AGGRAVATED - HANDGUN","CHA APARTMENT",FALSE,FALSE,"0133",3,"04B",1176315,1886573,2022,"11/12/2022 03:46:21 PM",41.844112707,-87.628445336,"(41.844112707, -87.628445336)"
"97",12768803,"JF326669",2022-07-21 10:42:00,"071XX S BENNETT AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0333",5,"04B",1189945,1857931,2022,"11/12/2022 03:46:21 PM",41.765199367,-87.57934868,"(41.765199367, -87.57934868)"
"98",12766931,"JF324360",2022-07-20 07:44:00,"037XX W CHICAGO AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1112",27,"04B",1151338,1905082,2022,"11/12/2022 03:46:21 PM",41.895429461,-87.719621079,"(41.895429461, -87.719621079)"
"99",12777154,"JF336652",2022-07-29 07:58:00,"011XX E 62ND ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"0314",20,"04B",1184557,1864121,2022,"11/12/2022 03:46:21 PM",41.782313196,-87.59890331,"(41.782313196, -87.59890331)"
"100",12770709,"JF329142",2022-07-24 01:09:00,"003XX E 79TH ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"0623",6,"04B",1180022,1852708,2022,"11/12/2022 03:46:21 PM",41.75109982,-87.615878739,"(41.75109982, -87.615878739)"
"101",12776129,"JF335497",2022-07-28 10:50:00,"042XX W FIFTH AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1132",24,"04B",1148051,1896223,2022,"11/12/2022 03:46:21 PM",41.87118325,-87.731921562,"(41.87118325, -87.731921562)"
"102",12769760,"JF328037",2022-07-23 12:59:00,"028XX N LEAVITT ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1931",1,"04B",1161658,1918787,2022,"11/12/2022 03:46:21 PM",41.932828141,-87.681335491,"(41.932828141, -87.681335491)"
"103",12770774,"JF329199",2022-07-24 02:45:00,"001XX N LEAVITT ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"1223",27,"04B",1161723,1900964,2022,"11/12/2022 03:46:21 PM",41.883919149,-87.681594285,"(41.883919149, -87.681594285)"
"104",12778017,"JF337642",2022-07-30 03:05:00,"087XX S HALSTED ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"2223",21,"04B",1172503,1846954,2022,"11/12/2022 03:46:21 PM",41.735478834,-87.643601006,"(41.735478834, -87.643601006)"
"105",12777295,"JF336955",2022-07-30 03:45:00,"017XX W OHIO ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1215",1,"04B",1164630,1904065,2022,"11/12/2022 03:46:21 PM",41.892367458,-87.670831595,"(41.892367458, -87.670831595)"
"106",12769820,"JF328112",2022-07-23 03:24:00,"003XX W 94TH PL","041A","BATTERY","AGGRAVATED - HANDGUN","RESIDENCE - PORCH / HALLWAY",FALSE,FALSE,"0634",21,"04B",1175612,1842434,2022,"11/12/2022 03:46:21 PM",41.72300642,-87.632345743,"(41.72300642, -87.632345743)"
"107",12766328,"JF323666",2022-07-19 02:40:00,"009XX N LAWNDALE AVE","041A","BATTERY","AGGRAVATED - HANDGUN","OTHER (SPECIFY)",FALSE,FALSE,"1112",27,"04B",1151547,1905964,2022,"11/12/2022 03:46:21 PM",41.897845652,-87.718830265,"(41.897845652, -87.718830265)"
"108",12777270,"JF336897",2022-07-30 01:40:00,"072XX S UNION AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0732",6,"04B",1172999,1856978,2022,"11/12/2022 03:46:21 PM",41.762975053,-87.641488571,"(41.762975053, -87.641488571)"
"109",12769646,"JF327831",2022-07-22 08:29:00,"032XX W 13TH ST","041A","BATTERY","AGGRAVATED - HANDGUN","VACANT LOT / LAND",FALSE,FALSE,"1022",24,"04B",1155103,1893862,2022,"11/12/2022 03:46:21 PM",41.864565913,-87.706094241,"(41.864565913, -87.706094241)"
"110",12770697,"JF329172",2022-07-24 01:46:00,"008XX N LATROBE AVE","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"1524",37,"04B",1141201,1905183,2022,"11/12/2022 03:46:21 PM",41.895899556,-87.75684979,"(41.895899556, -87.75684979)"
"111",12766071,"JF323228",2022-07-19 10:34:00,"035XX W CHICAGO AVE","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"1121",27,"04B",1152820,1905111,2022,"11/12/2022 03:46:21 PM",41.895479821,-87.714177247,"(41.895479821, -87.714177247)"
"112",12768785,"JF326715",2022-07-21 11:37:00,"092XX S GREENWOOD AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0413",8,"04B",1185162,1843899,2022,"11/12/2022 03:46:21 PM",41.726807826,-87.5973195,"(41.726807826, -87.5973195)"
"113",12776099,"JF335469",2022-07-28 10:16:00,"018XX E 72ND ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"0324",7,"04B",1189577,1857595,2022,"11/12/2022 03:46:21 PM",41.764286199,-87.580708265,"(41.764286199, -87.580708265)"
"114",12772322,"JF330905",2022-07-25 01:16:00,"008XX E 90TH PL","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"0633",8,"04B",1183368,1845148,2022,"11/12/2022 03:46:21 PM",41.730277132,-87.603852286,"(41.730277132, -87.603852286)"
"115",12770769,"JF329099",2022-07-23 11:50:00,"054XX S PAULINA ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"0932",16,"04B",1165934,1868720,2022,"11/12/2022 03:46:21 PM",41.795349621,-87.667049602,"(41.795349621, -87.667049602)"
"116",12776218,"JF335632",2022-07-29 04:04:00,"075XX S BLACKSTONE AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0411",8,"04B",1187518,1855086,2022,"11/12/2022 03:46:21 PM",41.757450465,-87.588334543,"(41.757450465, -87.588334543)"
"117",12778302,"JF338055",2022-07-30 10:43:00,"020XX N KILDARE AVE","041A","BATTERY","AGGRAVATED - HANDGUN","RESIDENCE - PORCH / HALLWAY",FALSE,FALSE,"2522",35,"04B",1147383,1913403,2022,"11/12/2022 03:46:21 PM",41.91833985,-87.733933416,"(41.91833985, -87.733933416)"
