"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","Ward","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"447",11699119,"JC277583",2019-05-25 02:00:00,"074XX S LANGLEY AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",323,6,"04B",1182184,1855739,2019,"06/30/2019 03:56:27 PM",41.759367459,-87.607862507,"(41.759367459, -87.607862507)"
"448",11699006,"JC277435",2019-05-24 10:08:00,"003XX N LAKE SHORE DR NB","041A","BATTERY","AGGRAVATED: HANDGUN","VEHICLE NON-COMMERCIAL","false","false",114,42,"04B",1180185,1902030,2019,"06/30/2019 03:56:27 PM",41.886439545,-87.613767861,"(41.886439545, -87.613767861)"
"449",11698353,"JC276612",2019-05-24 12:53:00,"087XX S COMMERCIAL AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",423,10,"04B",1197658,1847695,2019,"06/30/2019 03:56:27 PM",41.736922044,-87.551419766,"(41.736922044, -87.551419766)"
"450",11698383,"JC276706",2019-05-24 01:52:00,"061XX S MAPLEWOOD AVE","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",825,16,"04B",1160423,1863918,2019,"06/30/2019 03:56:27 PM",41.78228772,-87.687390951,"(41.78228772, -87.687390951)"
"451",11700139,"JC278864",2019-05-26 01:21:00,"028XX W 22ND PL","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1033,12,"04B",1157830,1888930,2019,"06/30/2019 03:56:27 PM",41.850976869,-87.696217762,"(41.850976869, -87.696217762)"
"452",11700101,"JC278853",2019-05-26 12:49:00,"027XX W FLOURNOY ST","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1135,28,"04B",1158248,1896922,2019,"06/30/2019 03:56:27 PM",41.872899225,-87.694465336,"(41.872899225, -87.694465336)"
"453",11700206,"JC279000",2019-05-26 03:15:00,"022XX W WALNUT ST","041A","BATTERY","AGGRAVATED: HANDGUN","OTHER","false","false",1223,27,"04B",1161535,1901638,2019,"06/30/2019 03:56:27 PM",41.885772579,-87.682265862,"(41.885772579, -87.682265862)"
"454",11700255,"JC278997",2019-05-26 03:30:00,"006XX S FRANCISCO AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",1135,28,"04B",1157135,1897148,2019,"06/30/2019 03:56:27 PM",41.873542051,-87.698545556,"(41.873542051, -87.698545556)"
"455",11699168,"JC277741",2019-05-25 02:04:00,"044XX S WESTERN AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",922,15,"04B",1161112,1875082,2019,"06/30/2019 03:56:27 PM",41.812908947,-87.684555956,"(41.812908947, -87.684555956)"
"456",11699044,"JC277458",2019-05-24 11:53:00,"054XX W DIVERSEY AVE","041B","BATTERY","AGGRAVATED: OTHER FIREARM","GAS STATION","true","false",2514,31,"04B",1139810,1918086,2019,"06/30/2019 03:56:27 PM",41.931332379,-87.761642824,"(41.931332379, -87.761642824)"
"457",11699032,"JC277494",2019-05-24 12:40:00,"014XX E 70TH ST","041A","BATTERY","AGGRAVATED: HANDGUN","ALLEY","false","false",332,5,"04B",1186934,1858866,2019,"06/30/2019 03:56:27 PM",41.767836987,-87.590355138,"(41.767836987, -87.590355138)"
"458",11699420,"JC277894",2019-05-25 10:30:00,"008XX N LECLAIRE AVE","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1531,37,"04B",1142203,1905086,2019,"06/30/2019 03:56:27 PM",41.895614843,-87.753172018,"(41.895614843, -87.753172018)"
"459",11700191,"JC278989",2019-05-26 03:26:00,"019XX W GARFIELD BLVD","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",932,16,"04B",1164470,1868194,2019,"06/30/2019 03:56:27 PM",41.793937223,-87.672432964,"(41.793937223, -87.672432964)"
"460",11700356,"JC279094",2019-05-26 06:40:00,"016XX S HOMAN AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",1021,24,"04B",1153972,1891507,2019,"06/30/2019 03:56:27 PM",41.858126129,-87.71030889,"(41.858126129, -87.71030889)"
"461",11701068,"JC279959",2019-05-26 03:30:00,"037XX S WINCHESTER AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",912,12,"04B",1163969,1879827,2019,"06/30/2019 03:56:27 PM",41.825870097,-87.67394281,"(41.825870097, -87.67394281)"
"462",11700546,"JC279023",2019-05-26 02:00:00,"006XX N SAWYER AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",1121,27,"04B",1154594,1904075,2019,"06/30/2019 03:56:27 PM",41.892601624,-87.70768948,"(41.892601624, -87.70768948)"
"463",11701216,"JC280075",2019-05-26 11:30:00,"027XX N WASHTENAW AVE","041A","BATTERY","AGGRAVATED: HANDGUN","SCHOOL, PUBLIC, GROUNDS","false","false",1411,32,"04B",1157900,1917925,2019,"06/30/2019 03:56:27 PM",41.930540344,-87.69516938,"(41.930540344, -87.69516938)"
"464",11703989,"JC283291",2019-05-29 01:23:00,"056XX W MADISON ST","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1513,29,"04B",1138887,1899460,2019,"06/30/2019 03:56:27 PM",41.880237269,-87.765487839,"(41.880237269, -87.765487839)"
"465",11702771,"JC281872",2019-05-28 01:27:00,"050XX W GLADYS AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",1533,29,"04B",1142671,1897867,2019,"06/30/2019 03:56:27 PM",41.875796334,-87.751632867,"(41.875796334, -87.751632867)"
"466",11704382,"JC283965",2019-05-29 07:45:00,"0000X S KOSTNER AVE","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1113,28,"04B",1147063,1899523,2019,"06/30/2019 03:56:27 PM",41.880257779,-87.735464519,"(41.880257779, -87.735464519)"
"467",11704418,"JC283569",2019-05-29 04:19:00,"115XX S PERRY AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",522,34,"04B",1177653,1828206,2019,"06/30/2019 03:56:27 PM",41.68391694,-87.625298274,"(41.68391694, -87.625298274)"
"468",11705563,"JC285040",2019-05-30 04:50:00,"045XX W WASHINGTON BLVD","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1113,28,"04B",1146174,1900112,2019,"06/30/2019 03:56:27 PM",41.881891012,-87.738713878,"(41.881891012, -87.738713878)"
"469",11705529,"JC285082",2019-05-30 04:54:00,"012XX W TOUHY AVE","041A","BATTERY","AGGRAVATED: HANDGUN","PARK PROPERTY","false","false",2423,49,"04B",1166490,1947984,2019,"06/30/2019 03:56:27 PM",42.012843474,-87.662738522,"(42.012843474, -87.662738522)"
"470",11703987,"JC283182",2019-05-29 12:02:00,"014XX E 75TH ST","041A","BATTERY","AGGRAVATED: HANDGUN","RESIDENTIAL YARD (FRONT/BACK)","false","false",411,8,"04B",1187007,1855548,2019,"06/30/2019 03:56:27 PM",41.758730364,-87.590192634,"(41.758730364, -87.590192634)"
"471",11706975,"JC287185",2019-06-01 01:46:00,"016XX W JONQUIL TER","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",2422,49,"04B",1164218,1950996,2019,"06/30/2019 03:56:27 PM",42.021156986,-87.671012579,"(42.021156986, -87.671012579)"
"472",11705787,"JC285609",2019-05-30 11:37:00,"022XX W 21ST ST","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1234,25,"04B",1161728,1890027,2019,"06/30/2019 03:56:27 PM",41.853906896,-87.681880711,"(41.853906896, -87.681880711)"
"473",11707018,"JC287186",2019-06-01 01:45:00,"004XX N STATE ST","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1834,42,"04B",1176292,1903441,2019,"06/30/2019 03:56:27 PM",41.890400093,-87.628021143,"(41.890400093, -87.628021143)"
"474",11706444,"JC286284",2019-05-31 01:46:00,"081XX S PAXTON AVE","041A","BATTERY","AGGRAVATED: HANDGUN","ALLEY","false","false",414,8,"04B",1192270,1851442,2019,"06/30/2019 03:56:27 PM",41.747336779,-87.571037751,"(41.747336779, -87.571037751)"
"475",11705369,"JC285070",2019-05-30 04:45:00,"007XX W 66TH PL","041A","BATTERY","AGGRAVATED: HANDGUN","ALLEY","false","false",723,6,"04B",1172442,1860775,2019,"06/30/2019 03:56:27 PM",41.773406753,-87.643418438,"(41.773406753, -87.643418438)"
"476",11705600,"JC285412",2019-05-30 08:15:00,"022XX W 23RD ST","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1034,25,"04B",1161835,1888705,2019,"06/30/2019 03:56:27 PM",41.850276966,-87.681524812,"(41.850276966, -87.681524812)"
"477",11705565,"JC284988",2019-05-30 04:21:00,"002XX S KILBOURN AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",1113,28,"04B",1146430,1898483,2019,"06/30/2019 03:56:27 PM",41.877415973,-87.737815347,"(41.877415973, -87.737815347)"
"478",11707072,"JC287209",2019-06-01 01:29:00,"099XX S HALSTED ST","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",2232,34,"04B",1172734,1839039,2019,"06/30/2019 03:56:27 PM",41.713753878,-87.642987258,"(41.713753878, -87.642987258)"
"479",11707552,"JC287812",2019-06-01 01:00:00,"031XX N KIMBALL AVE","041A","BATTERY","AGGRAVATED: HANDGUN","ALLEY","false","false",1412,35,"04B",1153176,1920741,2019,"06/30/2019 03:56:27 PM",41.938362841,-87.712454145,"(41.938362841, -87.712454145)"
"480",11706968,"JC287035",2019-05-31 10:45:00,"048XX W VAN BUREN ST","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1533,24,"04B",1144153,1897573,2019,"06/30/2019 03:56:27 PM",41.874961871,-87.746198823,"(41.874961871, -87.746198823)"
"481",11708074,"JC288598",2019-06-02 02:45:00,"107XX S HALSTED ST","041A","BATTERY","AGGRAVATED: HANDGUN","OTHER","false","false",2233,34,"04B",1172884,1833731,2019,"06/30/2019 03:56:27 PM",41.699184632,-87.642593834,"(41.699184632, -87.642593834)"
"482",11708089,"JC288559",2019-06-02 02:25:00,"037XX W LAKE ST","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",1122,28,"04B",1151370,1901328,2019,"06/30/2019 03:56:27 PM",41.885127469,-87.719602166,"(41.885127469, -87.719602166)"
"483",11707177,"JC287224",2019-06-01 02:00:00,"003XX E CHICAGO AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",1833,2,"04B",1178840,1905800,2019,"06/30/2019 03:56:27 PM",41.896815442,-87.61859164,"(41.896815442, -87.61859164)"
"484",11707088,"JC287283",2019-06-01 03:45:00,"088XX S UNION AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",2223,21,"04B",1173188,1846229,2019,"06/30/2019 03:56:27 PM",41.733474245,-87.641112802,"(41.733474245, -87.641112802)"
"485",11708920,"JC289546",2019-06-02 09:52:00,"026XX W 24TH ST","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1034,12,"04B",1159157,1887971,2019,"06/30/2019 03:56:27 PM",41.84831815,-87.69137369,"(41.84831815, -87.69137369)"
"486",11708775,"JC289276",2019-06-02 05:50:00,"014XX W 69TH ST","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",734,17,"04B",1167754,1858986,2019,"06/30/2019 03:56:27 PM",41.768599422,-87.660654858,"(41.768599422, -87.660654858)"
"487",11708875,"JC289455",2019-06-02 08:11:00,"022XX S CALIFORNIA AVE","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1033,12,"04B",1158050,1888824,2019,"06/30/2019 03:56:27 PM",41.850681512,-87.695413203,"(41.850681512, -87.695413203)"
"488",11709119,"JC289749",2019-06-03 03:54:00,"073XX S DREXEL AVE","041A","BATTERY","AGGRAVATED: HANDGUN","ALLEY","false","false",323,8,"04B",1183501,1856541,2019,"06/30/2019 03:56:27 PM",41.761537648,-87.60301084,"(41.761537648, -87.60301084)"
"489",11710198,"JC291112",2019-06-03 11:14:00,"104XX S STATE ST","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",512,9,"04B",1178103,1835535,2019,"06/30/2019 03:56:27 PM",41.704018612,-87.623429859,"(41.704018612, -87.623429859)"
"490",11710282,"JC291143",2019-06-04 12:47:00,"023XX E 75TH ST","041A","BATTERY","AGGRAVATED: HANDGUN","GAS STATION","false","false",334,7,"04B",1193261,1855693,2019,"06/30/2019 03:56:27 PM",41.758977718,-87.567267818,"(41.758977718, -87.567267818)"
"491",11710220,"JC291100",2019-06-03 11:01:00,"028XX W 87TH ST","041A","BATTERY","AGGRAVATED: HANDGUN","ALLEY","false","false",835,18,"04B",1158874,1846799,2019,"06/30/2019 03:56:27 PM",41.735342366,-87.693536836,"(41.735342366, -87.693536836)"
"492",11711415,"JC292487",2019-06-04 10:25:00,"026XX W 22ND PL","041A","BATTERY","AGGRAVATED: HANDGUN","ALLEY","false","false",1034,24,"04B",1159196,1888965,2019,"06/30/2019 03:56:27 PM",41.851044993,-87.691203279,"(41.851044993, -87.691203279)"
"493",11712082,"JC292990",2019-06-05 10:52:00,"048XX W FULTON ST","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1532,28,"04B",1143849,1901491,2019,"06/30/2019 03:56:27 PM",41.885719041,-87.747216756,"(41.885719041, -87.747216756)"
