"","INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","STATISTICAL_MURDER_FLAG","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"652",195699913,2019-04-07,03:15:00,"BRONX",47,2,FALSE,"25-44","M","BLACK",1027514.3125,261655.5,40.8847601860001,-73.843537052,"POINT (-73.84353705199999 40.88476018600005)"
"653",193417904,2019-02-08,17:00:00,"BRONX",40,0,TRUE,"18-24","M","BLACK",1010201,237368,40.8181661240001,-73.906244198,"POINT (-73.90624419799997 40.81816612400007)"
"654",199401908,2019-07-05,17:20:00,"BRONX",41,0,FALSE,"18-24","M","WHITE HISPANIC",1015346.1875,236366.671875,40.815401149,-73.887660029,"POINT (-73.88766002899996 40.815401149000024)"
"655",195203576,2019-03-26,02:25:00,"BROOKLYN",77,0,FALSE,"18-24","M","BLACK",994109,187431,40.681134284,-73.964455485,"POINT (-73.96445548499997 40.68113428400005)"
"656",202853370,2019-09-24,21:00:00,"BRONX",42,0,FALSE,"25-44","M","BLACK",1014493,242565,40.8324167530001,-73.890714406,"POINT (-73.89071440599997 40.832416753000075)"
"657",198159773,2019-06-06,00:56:00,"BROOKLYN",79,2,FALSE,"25-44","M","BLACK",998988.5625,189991.09375,40.688154378,-73.946856956,"POINT (-73.94685695599998 40.688154378000036)"
"658",199325320,2019-07-05,04:15:00,"BRONX",44,0,FALSE,"18-24","M","BLACK HISPANIC",1007070,241390.4375,40.829215215,-73.917542367,"POINT (-73.91754236699995 40.82921521500003)"
"659",202244820,2019-09-10,22:11:00,"MANHATTAN",23,0,FALSE,"25-44","M","BLACK",1001923.625,227875.171875,40.7921313640001,-73.936174146,"POINT (-73.93617414599998 40.792131364000056)"
"660",199134397,2019-06-30,21:35:00,"QUEENS",101,0,FALSE,"25-44","M","WHITE HISPANIC",1051810.25,158385.84375,40.601159528,-73.7567089779999,"POINT (-73.75670897799995 40.60115952800004)"
"661",198255460,2019-06-07,17:50:00,"BROOKLYN",73,0,FALSE,"25-44","M","BLACK",1009650,186966,40.679827016,-73.9084252389999,"POINT (-73.90842523899994 40.67982701600005)"
"662",193939353,2019-02-22,04:11:00,"BRONX",46,0,FALSE,"45-64","M","BLACK",1010969.4375,248350.765625,40.848308349,-73.903424201,"POINT (-73.90342420099995 40.848308349000035)"
"663",199744072,2019-07-14,00:28:00,"BROOKLYN",73,0,FALSE,"45-64","M","BLACK",1009904.75,180751.46875,40.66276879,-73.9075304249999,"POINT (-73.90753042499995 40.66276879000003)"
"664",193267668,2019-02-06,22:26:00,"BROOKLYN",81,0,FALSE,"18-24","M","BLACK",1004227.625,186741.578125,40.6792249260001,-73.927975521,"POINT (-73.92797552099995 40.679224926000074)"
"665",202302188,2019-09-11,20:00:00,"BROOKLYN",67,0,FALSE,"45-64","M","BLACK",1007015.5625,178099.875,40.65549865,-73.917953274,"POINT (-73.91795327399996 40.655498650000034)"
"666",199298013,2019-07-04,06:20:00,"BROOKLYN",67,0,FALSE,"25-44","F","BLACK",1008050.25,178717.546875,40.657191303,-73.914222034,"POINT (-73.91422203399998 40.65719130300005)"
"667",203041432,2019-09-27,20:03:00,"QUEENS",101,2,TRUE,"18-24","M","BLACK",1047439.4375,156662.75,40.596462241,-73.772464836,"POINT (-73.77246483599998 40.59646224100004)"
"668",198266990,2019-06-10,02:21:00,"MANHATTAN",30,0,TRUE,"25-44","M","BLACK",998886,240181,40.8259130060001,-73.947117528,"POINT (-73.94711752799998 40.825913006000064)"
"669",195440618,2019-04-01,22:21:00,"BRONX",42,2,FALSE,"25-44","M","BLACK",1010674.4375,239150.078125,40.8230560210001,-73.90452672,"POINT (-73.90452671999998 40.82305602100007)"
"670",196043547,2019-04-15,08:34:00,"QUEENS",113,0,FALSE,"25-44","M","BLACK HISPANIC",1043652,190369,40.6890045800001,-73.785806054,"POINT (-73.78580605399998 40.68900458000007)"
"671",203980164,2019-10-18,14:43:00,"MANHATTAN",32,0,TRUE,"65+","M","BLACK",1000565.0625,234704.203125,40.810877798,-73.9410639239999,"POINT (-73.94106392399993 40.810877798000035)"
"672",196525187,2019-04-27,11:36:00,"BRONX",48,0,TRUE,"18-24","M","BLACK HISPANIC",1013951.6875,247178.421875,40.8450810850001,-73.892650077,"POINT (-73.89265007699998 40.84508108500006)"
"673",196678735,2019-05-02,00:23:00,"BROOKLYN",75,0,FALSE,"25-44","M","BLACK",1016007.5625,185359.34375,40.6753965850001,-73.885511516,"POINT (-73.88551151599995 40.675396585000044)"
"674",193026088,2019-01-31,18:45:00,"QUEENS",105,0,FALSE,"25-44","M","BLACK",1052230,179775,40.6598648140001,-73.754981974,"POINT (-73.75498197399997 40.65986481400006)"
"675",202944931,2019-09-26,14:00:00,"MANHATTAN",25,0,FALSE,"25-44","M","BLACK",999154.75,230606.265625,40.799632579,-73.9461677189999,"POINT (-73.94616771899996 40.79963257900005)"
"676",198405076,2019-06-12,08:09:00,"BRONX",49,2,FALSE,"25-44","F","WHITE",1023622.375,253317.84375,40.8618941290001,-73.8576611249999,"POINT (-73.85766112499994 40.86189412900006)"
"677",200331333,2019-07-27,22:53:00,"BROOKLYN",73,0,TRUE,"25-44","M","BLACK HISPANIC",1011786,178738,40.6572366130001,-73.900757798,"POINT (-73.90075779799997 40.657236613000066)"
"678",199742305,2019-07-13,00:43:00,"MANHATTAN",23,2,FALSE,"45-64","M","BLACK",999154.75,226675.703125,40.7888442490001,-73.946176442,"POINT (-73.94617644199997 40.78884424900008)"
"679",200365031,2019-07-28,01:40:00,"QUEENS",106,0,FALSE,"25-44","M","WHITE HISPANIC",1023840.6875,184944.625,40.6742267110001,-73.8572746149999,"POINT (-73.85727461499994 40.674226711000074)"
"680",191949900,2019-01-06,02:46:00,"BRONX",41,0,FALSE,"45-64","M","BLACK HISPANIC",1013901.75,238673.171875,40.8217368050001,-73.892868162,"POINT (-73.89286816199996 40.82173680500006)"
"681",192545414,2019-01-19,22:25:00,"BROOKLYN",94,2,TRUE,"25-44","M","BLACK",1000940.5,201183.421875,40.7188712230001,-73.9397908989999,"POINT (-73.93979089899995 40.718871223000065)"
"682",197953462,2019-06-01,14:14:00,"QUEENS",101,0,FALSE,"25-44","M","BLACK",1052809,159159.390625,40.6032750790001,-73.753104529,"POINT (-73.75310452899998 40.60327507900007)"
"683",201573937,2019-08-23,17:58:00,"BRONX",40,0,FALSE,"25-44","M","WHITE HISPANIC",1006669.375,233630.84375,40.807918343,-73.919015928,"POINT (-73.91901592799996 40.80791834300004)"
"684",200994120,2019-08-11,03:40:00,"BROOKLYN",75,0,FALSE,"25-44","M","BLACK",1011771.875,185617.296875,40.676118789,-73.9007806239999,"POINT (-73.90078062399994 40.67611878900004)"
"685",193694863,2019-02-17,03:00:00,"QUEENS",114,2,FALSE,"25-44","M","BLACK",999484,214809.625,40.7562744050001,-73.9450143299999,"POINT (-73.94501432999994 40.756274405000056)"
"686",200365032,2019-07-28,22:40:00,"BRONX",44,0,FALSE,"25-44","M","BLACK HISPANIC",1007847.1875,245235.578125,40.8397669710001,-73.9147205089999,"POINT (-73.91472050899995 40.839766971000074)"
"687",195743583,2019-04-08,16:00:00,"BROOKLYN",75,0,FALSE,"25-44","M","BLACK",1012265.875,186110.09375,40.677469855,-73.898997627,"POINT (-73.89899762699997 40.67746985500003)"
